id,Season,city,Date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,Team_win_id,venue,umpire1,umpire2,umpire3
95,IPL-2008,Kolkata,2008-05-13 00:00:00,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,23,0,Shoaib Akhtar,8,Eden Gardens,Asad Rauf,IL Howell,""
103,IPL-2008,Kolkata,2008-05-18 00:00:00,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,1,Chennai Super Kings,3,0,M Ntini,1,Eden Gardens,Asad Rauf,K Hariharan,""
105,IPL-2008,Kolkata,2008-05-20 00:00:00,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,YK Pathan,11,Eden Gardens,BG Jerling,RE Koertzen,""
112,IPL-2008,Kolkata,2008-05-25 00:00:00,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,0,3,Umar Gul,8,Eden Gardens,SJ Davis,I Shivram,""
63,IPL-2008,Mumbai,2008-04-20 00:00:00,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,5,MV Boucher,13,Wankhede Stadium,SJ Davis,DJ Harper,""
72,IPL-2008,Mumbai,2008-04-27 00:00:00,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,10,AC Gilchrist,2,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,""
82,IPL-2008,Mumbai,2008-05-04 00:00:00,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,29,0,SM Pollock,9,Dr DY Patil Sports Academy,IL Howell,RE Koertzen,""
86,IPL-2008,Mumbai,2008-05-07 00:00:00,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,A Nehra,9,Dr DY Patil Sports Academy,DJ Harper,RE Koertzen,""
96,IPL-2008,Mumbai,2008-05-14 00:00:00,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,ST Jayasuriya,9,Wankhede Stadium,BR Doctrove,AM Saheba,""
99,IPL-2008,Mumbai,2008-05-16 00:00:00,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,SM Pollock,9,Wankhede Stadium,BR Doctrove,DJ Harper,""
106,IPL-2008,Mumbai,2008-05-21 00:00:00,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,1,0,SE Marsh,6,Wankhede Stadium,BF Bowden,GA Pratapkumar,""
115,IPL-2008,Mumbai,2008-05-30 00:00:00,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Rajasthan Royals,105,0,SR Watson,11,Wankhede Stadium,BF Bowden,RE Koertzen,""
116,IPL-2008,Mumbai,2008-05-31 00:00:00,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Chennai Super Kings,0,9,M Ntini,1,Wankhede Stadium,Asad Rauf,DJ Harper,""
117,IPL-2008,Mumbai,2008-06-01 00:00:00,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,YK Pathan,11,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen,""
161,IPL-2009,Bloemfontein,2009-05-15 00:00:00,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,B Lee,6,OUTsurance Oval,HDPK Dharmasena,IL Howell,""
165,IPL-2009,Bloemfontein,2009-05-17 00:00:00,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Delhi Daredevils,14,0,AB de Villiers,4,OUTsurance Oval,SS Hazare,IL Howell,""
118,IPL-2009,Cape Town,2009-04-18 00:00:00,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,19,0,SR Tendulkar,9,Newlands,BR Doctrove,K Hariharan,""
119,IPL-2009,Cape Town,2009-04-18 00:00:00,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,75,0,R Dravid,13,Newlands,BR Doctrove,RB Tiffin,""
120,IPL-2009,Cape Town,2009-04-19 00:00:00,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,1,Delhi Daredevils,0,10,DL Vettori,4,Newlands,MR Benson,SD Ranade,""
121,IPL-2009,Cape Town,2009-04-19 00:00:00,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Deccan Chargers,0,8,RP Singh,2,Newlands,MR Benson,BR Doctrove,""
124,IPL-2009,Cape Town,2009-04-22 00:00:00,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Deccan Chargers,24,0,AC Gilchrist,2,Newlands,M Erasmus,AM Saheba,""
126,IPL-2009,Cape Town,2009-04-23 00:00:00,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,0,Rajasthan Royals,0,0,YK Pathan,11,Newlands,MR Benson,M Erasmus,""
130,IPL-2009,Cape Town,2009-04-26 00:00:00,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Kings XI Punjab,27,0,KC Sangakkara,6,Newlands,M Erasmus,K Hariharan,""
133,IPL-2009,Centurion,2009-04-28 00:00:00,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Rajasthan Royals,0,5,YK Pathan,11,SuperSport Park,GAV Baxter,RE Koertzen,""
137,IPL-2009,Centurion,2009-04-30 00:00:00,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,38,0,SK Raina,1,SuperSport Park,GAV Baxter,RE Koertzen,""
136,IPL-2009,Centurion,2009-04-30 00:00:00,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,DP Nannes,4,SuperSport Park,GAV Baxter,AM Saheba,""
147,IPL-2009,Centurion,2009-05-06 00:00:00,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,19,0,RG Sharma,2,SuperSport Park,MR Benson,HDPK Dharmasena,""
149,IPL-2009,Centurion,2009-05-07 00:00:00,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,1,Chennai Super Kings,12,0,ML Hayden,1,SuperSport Park,DJ Harper,TH Wijewardene,""
148,IPL-2009,Centurion,2009-05-07 00:00:00,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,A Singh,11,SuperSport Park,K Hariharan,DJ Harper,""
157,IPL-2009,Centurion,2009-05-12 00:00:00,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Mumbai Indians,0,8,Harbhajan Singh,9,SuperSport Park,SS Hazare,RE Koertzen,""
